signal_feature_alpha,signal_feature_beta,signal_feature_gamma,categorical_tier_rank,signal_feature_delta,system_efficiency_ratio,target_outcome_class
61.563,8.172,3.502,5,65.064,0.782,0
27.821,1.395,4.116,1,138.412,0.702,1
67.156,17.311,0.253,4,104.605,0.806,0
55.077,16.797,0.953,2,138.189,0.582,1
43.771,15.386,3.84,3,116.524,0.809,0
59.492,9.659,2.095,4,152.325,0.74,1
84.06,8.622,1.661,3,71.243,0.643,0
52.728,21.715,1.02,1,119.872,0.945,0
53.723,13.596,1.789,5,64.653,0.736,0
43.11,20.531,0.857,2,122.586,0.646,0
37.252,10.918,4.7,4,119.835,0.759,1
62.455,19.449,2.375,2,101.448,0.587,1
37.159,28.426,2.336,3,86.486,0.695,0
51.073,22.689,3.047,3,100.239,0.99,0
42.835,14.701,3.459,5,112.93,0.472,1
57.185,20.058,3.44,3,118.526,0.646,1
55.005,16.075,3.581,5,167.969,0.699,1
65.563,18.063,1.706,4,136.202,0.669,0
42.35,15.395,2.072,5,92.393,0.65,0
45.952,16.685,3.246,3,127.381,0.957,0
35.319,19.697,1.82,1,136.44,0.642,1
43.336,10.053,2.394,5,90.321,0.776,0
55.66,9.873,2.839,2,131.065,0.634,1
61.355,6.892,3.264,1,65.398,0.776,0
36.168,5.198,0.445,5,89.228,0.851,0
63.044,8.262,3.186,2,67.273,0.71,1
70.335,19.276,2.143,1,103.668,0.64,1
56.202,10.858,3.178,5,95.791,0.703,0
78.152,22.109,3.255,4,98.091,0.795,0
38.393,18.278,4.169,2,134.464,0.841,1
31.33,2.252,3.889,4,112.717,0.756,0
23.319,23.24,3.881,3,134.01,0.709,1
72.441,24.486,3.988,5,158.791,0.899,1
59.815,10.049,2.721,5,172.84,0.632,1
49.166,21.362,2.435,2,105.806,0.662,1
54.2,11.148,3.36,5,126.042,0.971,0
33.118,18.781,3.205,3,105.357,0.706,1
86.686,7.884,2.06,5,140.426,0.812,0
51.938,3.655,2.845,1,134.591,0.596,1
51.641,14.937,2.361,4,90.184,0.86,0
60.886,17.01,1.461,3,94.599,0.559,0
57.215,14.819,3.82,3,151.581,0.549,1
53.358,8.528,2.461,4,93.525,0.845,0
38.143,14.801,4.654,4,106.646,0.669,1
57.072,20.154,0.612,3,130.251,0.686,0
78.23,17.641,1.788,4,105.033,0.78,0
70.181,19.46,2.436,2,156.019,0.679,1
73.898,12.639,3.651,4,140.993,0.573,1
42.332,27.374,2.839,1,83.475,0.64,1
35.156,8.591,2.742,1,92.435,0.584,1
48.113,21.9,1.16,2,127.627,0.883,0
50.836,27.455,1.127,4,108.439,0.889,0
66.413,21.847,2.755,1,51.783,0.602,1
24.613,16.38,0.899,5,80.874,0.781,0
72.943,13.774,1.815,4,117.023,0.682,0
47.63,26.289,2.951,2,136.716,0.924,0
43.597,6.616,1.319,4,137.145,0.99,0
34.818,10.239,4.166,3,168.885,0.822,1
25.177,14.82,3.746,3,89.256,0.648,1
62.348,27.901,0.671,1,90.691,0.558,1
51.1,21.038,1.374,3,109.24,0.754,0
30.651,10.256,0.1,2,59.721,0.698,0
30.574,15.518,1.539,1,109.908,0.518,1
44.963,13.085,3.243,2,104.135,0.731,1
75.035,12.322,1.945,2,133.752,0.99,0
46.106,25.831,2.907,3,138.846,0.833,0
27.453,7.026,0.725,3,120.718,0.557,1
46.314,30.87,3.278,2,110.086,0.717,1
45.909,24.626,1.789,3,120.92,0.772,0
10.0,26.727,2.413,3,86.215,0.789,0
49.186,14.296,2.298,3,107.52,0.491,1
46.536,16.8,1.001,4,110.503,0.704,0
60.443,6.535,1.132,2,107.747,0.757,1
77.734,13.803,3.465,5,104.869,0.694,0
66.898,21.949,2.839,2,91.362,0.45,1
45.967,28.369,3.555,1,79.232,0.699,1
33.402,9.143,2.757,3,103.847,0.83,0
88.6,15.076,2.557,3,127.83,0.64,1
50.888,16.79,0.501,5,57.878,0.654,0
50.209,6.834,2.103,1,95.082,0.916,0
49.638,22.731,2.37,4,172.073,0.692,1
52.971,12.208,4.548,2,104.211,0.736,0
47.835,16.437,3.156,4,114.54,0.459,1
41.395,14.384,4.09,1,165.162,0.573,1
41.797,11.685,3.057,5,119.583,0.99,0
49.509,17.944,1.618,1,120.268,0.952,0
41.849,16.275,2.529,5,82.696,0.786,0
39.307,15.025,2.66,4,119.385,0.4,1
51.596,12.172,1.367,4,109.556,0.534,1
46.175,20.556,1.977,1,137.747,0.53,1
72.56,31.229,2.174,1,148.32,0.528,1
10.235,19.119,4.166,3,110.909,0.666,1
66.373,25.969,0.111,5,121.463,0.829,0
68.691,6.878,3.726,3,53.304,0.632,1
18.899,19.262,1.37,2,42.93,0.677,0
44.86,9.221,0.891,2,142.796,0.677,0
44.428,6.185,3.698,1,35.153,0.846,0
28.887,12.085,3.205,4,119.82,0.845,0
38.333,27.535,3.78,2,104.79,0.743,1
33.341,25.6,3.281,2,146.941,0.899,1
76.284,19.944,4.666,3,108.945,0.666,1
64.035,5.738,3.015,3,164.068,0.965,1
69.073,16.43,2.228,2,103.883,0.635,1
60.825,20.414,2.777,1,144.39,0.444,1
33.064,19.404,3.768,3,65.053,0.543,0
42.132,3.25,1.543,2,40.939,0.531,0
57.341,10.877,1.683,4,109.154,0.616,0
31.668,17.487,2.06,3,67.982,0.878,0
60.695,22.29,0.1,2,108.202,0.657,1
46.395,0.431,2.552,5,97.604,0.53,0
44.378,16.703,0.325,3,128.154,0.516,0
60.664,19.144,2.458,5,78.069,0.712,0
56.664,24.797,3.352,3,122.74,0.933,0
44.586,23.543,1.875,3,135.918,0.751,0
67.39,22.661,4.245,5,103.829,0.852,0
33.784,11.6,0.793,1,124.347,0.776,1
59.239,2.736,3.71,2,80.643,0.506,1
58.897,14.856,3.143,1,98.52,0.804,1
45.357,26.013,0.512,1,69.738,0.561,0
54.892,29.148,5.0,2,180.163,0.662,1
31.233,23.684,2.33,4,146.864,0.619,1
63.86,21.435,1.435,1,159.804,0.705,1
47.226,21.037,0.852,1,146.433,0.685,1
42.159,13.551,2.158,1,90.105,0.667,1
65.735,16.96,2.26,4,63.964,0.681,0
39.435,31.353,2.513,3,97.278,0.757,0
28.873,10.46,2.072,5,124.259,0.681,0
26.651,30.918,3.097,5,101.292,0.696,0
59.09,15.424,1.974,4,42.956,0.99,0
30.794,28.603,0.272,1,132.412,0.866,0
76.322,6.745,2.236,5,62.054,0.65,0
18.771,22.687,0.1,4,97.33,0.735,0
75.447,12.106,2.789,2,162.314,0.724,1
53.165,6.678,1.323,5,111.472,0.731,0
48.549,19.748,2.58,2,142.3,0.717,1
41.826,26.076,3.845,1,120.405,0.732,1
55.987,11.24,1.356,5,79.733,0.685,0
49.435,6.008,3.567,4,131.88,0.634,1
66.55,17.265,1.923,3,108.103,0.666,1
51.713,17.301,4.329,5,65.425,0.477,0
52.255,22.387,1.998,5,60.39,0.817,0
44.546,25.597,1.475,5,121.498,0.787,0
49.146,17.525,3.156,5,174.24,0.99,0
54.617,32.844,1.921,4,77.712,0.553,0
24.347,19.794,1.474,4,81.291,0.663,0
29.777,15.229,1.874,3,121.934,0.883,0
61.149,5.107,2.351,4,70.582,0.77,0
52.563,15.899,3.876,4,180.621,0.948,1
47.24,15.309,0.273,1,84.03,0.927,0
50.277,25.682,2.425,1,95.032,0.38,1
55.214,21.7,3.087,2,85.864,0.756,0
41.904,8.565,2.613,3,138.043,0.757,1
38.325,19.378,3.841,1,174.867,0.717,1
52.938,23.372,2.318,3,88.903,0.659,0
35.324,30.224,2.197,3,135.997,0.939,0
56.124,25.1,3.052,5,70.823,0.716,0
24.461,24.087,2.509,3,138.778,0.281,1
65.437,18.481,1.971,5,162.751,0.658,1
57.089,21.106,2.968,2,153.571,0.99,1
53.84,27.996,1.682,2,113.985,0.564,1
64.74,7.338,1.728,2,79.016,0.89,0
74.982,15.204,1.819,5,110.023,0.866,0
65.216,11.819,3.888,5,100.673,0.684,0
22.387,21.033,0.1,2,96.599,0.746,0
30.806,27.842,2.835,5,116.196,0.71,0
40.628,13.224,2.438,4,108.004,0.646,1
50.391,0.0,0.551,4,131.235,0.626,1
57.765,14.702,2.741,5,131.43,0.919,0
39.114,25.308,2.923,5,108.116,0.696,0
52.802,22.301,3.049,1,122.968,0.612,1
38.669,21.425,0.1,1,149.642,0.797,1
40.827,15.76,3.903,3,94.052,0.78,0
28.9,7.768,1.588,3,110.477,0.511,1
36.152,22.122,3.155,3,79.149,0.63,0
29.725,11.326,3.215,2,124.396,0.482,1
35.362,35.473,1.436,4,115.955,0.99,0
65.805,22.564,3.127,2,123.826,0.669,1
35.759,13.355,1.976,5,80.334,0.625,0
89.486,13.109,0.121,1,132.967,0.65,1
57.4,17.256,3.685,5,113.061,0.614,0
52.773,16.084,1.547,5,140.885,0.694,0
37.125,26.935,1.46,1,96.868,0.893,1
60.505,19.491,1.957,5,130.472,0.734,0
41.365,12.147,2.699,3,123.351,0.526,1
51.83,33.124,2.337,1,155.74,0.559,1
88.401,18.394,3.003,5,106.511,0.744,0
48.559,24.151,0.927,3,93.354,0.603,0
67.239,13.134,1.583,3,95.186,0.693,0
39.452,20.905,2.272,4,76.75,0.99,0
49.475,20.489,4.488,3,94.908,0.579,1
76.562,2.883,2.275,2,39.782,0.518,1
40.595,34.122,3.594,1,151.063,0.616,1
77.187,28.325,2.442,1,168.021,0.468,1
60.616,14.822,1.868,1,105.572,0.9,0
41.563,9.182,2.129,5,123.143,0.558,1
59.486,20.78,2.215,5,114.92,0.584,1
64.588,18.694,3.064,2,70.608,0.533,1
59.327,20.845,3.912,3,140.788,0.483,1
26.447,19.533,2.796,5,145.264,0.712,1
39.093,22.05,3.706,3,78.77,0.615,0
46.287,29.578,1.339,3,119.897,0.467,0
48.883,22.545,1.944,5,102.117,0.668,0
59.31,9.603,1.603,5,145.698,0.771,0
52.666,28.901,2.746,2,107.514,0.658,1
29.97,31.125,2.005,4,108.326,0.804,0
55.703,43.216,3.203,1,164.626,0.958,1
59.159,9.012,1.376,5,71.438,0.834,0
58.397,19.943,2.447,5,117.442,0.75,1
66.212,1.343,3.156,3,112.66,0.834,1
62.509,22.425,0.128,4,91.892,0.99,0
56.888,13.614,4.734,5,171.195,0.518,1
48.948,33.388,2.089,4,120.096,0.809,0
25.086,11.803,0.172,1,130.153,0.58,1
56.444,4.487,2.574,3,134.438,0.754,1
53.115,14.23,2.437,2,100.374,0.535,1
54.074,2.196,2.31,1,147.253,0.826,1
30.849,24.009,3.49,4,141.216,0.759,1
33.784,1.479,3.222,4,106.337,0.93,0
65.797,18.228,2.728,1,138.148,0.682,1
49.407,1.378,2.895,4,147.198,0.678,1
60.223,15.438,2.285,2,133.853,0.679,1
50.425,31.147,4.353,2,84.943,0.99,0
50.446,20.885,0.773,4,107.229,0.809,0
64.074,11.092,2.554,4,124.261,0.908,0
42.259,17.75,2.472,2,117.564,0.821,0
51.442,18.144,3.295,4,87.645,0.843,0
43.066,21.781,1.472,5,101.403,0.513,0
43.483,7.065,0.482,3,120.556,0.642,1
45.362,22.741,2.573,5,64.724,0.633,0
53.332,0.0,2.709,4,110.58,0.728,1
42.819,12.961,4.039,4,130.899,0.706,1
68.836,14.094,1.003,3,118.488,0.495,1
36.581,23.067,3.67,4,84.276,0.726,0
47.197,18.181,5.0,3,89.555,0.438,1
43.404,6.755,1.984,2,154.61,0.829,1
71.705,10.12,0.98,3,81.871,0.735,0
52.948,19.589,1.952,3,145.57,0.894,0
65.478,17.367,2.415,5,91.361,0.75,0
27.717,13.367,3.02,4,143.905,0.655,1
54.006,14.153,1.749,2,126.233,0.499,1
63.344,23.569,4.111,1,99.559,0.665,1
51.234,13.858,1.174,3,57.004,0.61,0
65.982,17.295,0.487,1,121.957,0.772,0
42.241,35.359,3.617,4,115.447,0.661,1
71.14,6.611,0.1,3,122.417,0.805,0
84.483,3.185,2.175,1,126.182,0.91,0
44.557,24.269,5.0,5,70.576,0.522,1
43.317,12.571,2.387,1,121.798,0.72,1
71.801,15.454,1.167,5,132.276,0.713,0
73.694,11.751,2.337,2,131.922,0.764,1
42.157,15.922,2.344,4,72.408,0.816,0
43.697,30.788,2.577,1,144.629,0.942,0
45.773,24.417,3.128,3,122.861,0.565,1
29.833,24.898,1.257,4,126.666,0.5,1
36.22,6.67,4.256,1,83.129,0.746,1
34.938,8.791,2.67,3,132.713,0.783,0
38.483,0.0,3.199,3,58.283,0.821,0
49.48,11.525,1.709,3,84.554,0.613,0
53.513,25.654,3.815,3,147.998,0.499,1
73.258,22.136,2.117,1,131.258,0.891,0
35.025,16.228,2.705,2,118.745,0.792,1
64.765,17.822,1.374,5,138.311,0.667,0
46.79,12.489,1.303,5,140.396,0.42,1
49.258,19.638,3.157,5,132.737,0.626,1
60.122,24.127,1.912,2,103.477,0.817,0
33.159,5.073,1.461,3,83.659,0.781,0
55.736,20.397,1.692,3,90.098,0.527,0
52.497,25.459,3.169,4,152.318,0.807,1
57.387,14.679,1.708,5,71.735,0.708,0
54.338,23.606,2.271,5,124.725,0.897,0
86.83,40.517,2.417,3,124.771,0.622,1
40.434,17.165,0.291,5,154.042,0.634,0
42.035,21.146,0.782,3,124.687,0.736,0
40.653,12.096,2.77,3,97.303,0.662,1
41.668,19.45,1.589,3,97.776,0.598,0
40.439,21.682,3.562,1,109.827,0.978,0
67.835,19.559,3.463,1,143.98,0.919,1
71.308,9.842,3.191,1,134.196,0.586,1
41.439,19.651,4.402,1,77.429,0.751,1
37.515,29.698,2.309,2,118.36,0.506,1
57.071,21.589,3.114,4,134.758,0.958,0
41.717,25.696,1.757,4,102.885,0.826,0
59.494,16.104,5.0,3,45.201,0.861,0
53.044,23.999,4.582,5,104.106,0.685,0
27.264,20.234,2.413,1,65.446,0.884,0
73.213,10.393,2.825,4,60.696,0.885,0
76.938,20.548,3.895,4,141.955,0.697,1
40.808,10.066,2.238,1,185.631,0.559,1
44.184,12.937,1.678,2,150.929,0.781,1
54.288,19.515,3.361,2,31.682,0.702,0
55.017,20.378,2.486,4,104.81,0.979,0
59.878,8.486,2.601,2,92.309,0.727,1
80.153,26.432,1.482,1,65.872,0.735,0
47.346,22.576,0.511,4,123.946,0.833,0
38.026,12.362,2.66,1,104.456,0.72,0
29.31,5.699,3.395,2,75.077,0.817,1
39.036,16.841,2.152,1,48.31,0.645,0
49.503,14.432,3.98,2,91.733,0.563,1
76.918,18.905,1.626,2,110.237,0.592,1
42.236,15.095,1.24,1,106.447,0.673,0
53.357,1.94,2.326,2,141.883,0.737,1
49.754,14.893,2.309,3,120.14,0.79,1
67.826,15.555,3.247,1,99.661,0.784,1
87.904,23.069,1.548,3,85.483,0.721,0
42.037,12.414,3.905,1,56.872,0.57,0
42.658,31.429,4.564,2,77.262,0.818,0
65.662,2.707,2.357,2,150.75,0.51,1
60.228,28.489,3.775,4,135.94,0.557,1
77.701,16.205,1.238,4,118.663,0.726,0
58.759,24.877,3.583,3,95.178,0.832,0
44.611,18.638,3.552,2,147.231,0.808,0
58.86,27.116,3.35,4,79.667,0.706,0
66.631,14.901,2.383,2,80.01,0.782,0
62.307,9.211,0.1,1,107.196,0.571,0
57.609,29.364,1.694,4,44.506,0.641,0
66.0,17.092,1.711,3,78.816,0.643,1
67.539,19.772,1.324,4,102.913,0.584,1
70.732,27.878,2.534,2,96.163,0.67,1
59.731,9.744,1.939,5,80.352,0.691,0
47.493,22.764,1.493,5,171.062,0.655,1
52.201,13.281,1.235,2,150.898,0.684,1
68.098,16.943,1.613,1,161.438,0.319,1
37.746,18.578,3.634,4,107.029,0.774,1
55.53,5.998,1.673,5,95.342,0.663,0
44.1,11.769,1.834,1,158.05,0.663,1
50.431,28.809,1.898,2,112.556,0.526,1
69.177,25.09,2.773,1,78.185,0.937,0
52.866,17.499,2.902,2,80.269,0.944,0
50.697,19.945,0.1,4,100.267,0.486,1
29.602,15.646,3.524,1,109.339,0.687,1
61.194,28.853,3.98,4,112.444,0.85,0
59.682,16.397,1.245,1,104.492,0.67,1
82.449,19.855,1.33,2,180.188,0.635,1
45.383,27.168,1.905,2,69.406,0.626,0
53.287,11.781,1.568,1,130.181,0.764,1
53.741,30.47,2.646,2,95.676,0.99,0
73.662,5.756,0.259,3,108.836,0.836,0
48.571,31.037,1.17,3,138.215,0.565,0
54.185,15.019,4.093,4,56.518,0.632,0
59.118,16.058,1.379,3,81.624,0.683,0
52.799,2.88,3.768,3,105.99,0.6,1
43.303,14.362,2.791,5,154.288,0.574,1
52.911,9.682,0.41,5,154.129,0.825,0
66.104,13.139,3.099,5,148.319,0.65,1
34.602,16.902,2.271,5,44.198,0.772,0
51.995,25.662,1.899,2,78.507,0.97,0
39.498,19.661,2.669,4,79.741,0.647,0
67.926,20.461,2.922,4,108.343,0.758,0
27.152,9.236,3.178,3,54.409,0.577,0
41.616,10.954,3.696,4,142.937,0.778,1
55.658,32.39,2.849,3,50.168,0.902,0
73.483,12.118,0.887,4,140.976,0.895,0
49.014,31.25,1.879,1,136.125,0.726,1
41.672,16.056,5.0,1,77.168,0.647,1
78.217,18.018,3.197,4,147.859,0.753,1
28.28,26.563,5.0,2,100.004,0.727,1
17.018,28.175,3.935,3,92.219,0.785,0
56.6,17.113,2.666,4,97.357,0.631,1
42.469,14.894,2.732,3,99.93,0.664,1
34.682,17.553,2.36,5,102.69,0.689,0
60.625,20.704,0.488,4,103.371,0.813,0
53.657,25.13,2.42,2,83.291,0.832,0
41.539,18.034,3.732,5,90.254,0.66,0
30.795,22.951,1.74,4,92.852,0.559,0
63.087,31.107,2.853,1,160.182,0.771,1
59.753,21.05,3.337,4,92.865,0.822,0
48.512,20.493,1.399,1,90.939,0.701,1
77.7,5.849,1.904,1,155.49,0.62,1
33.949,0.0,1.28,4,100.34,0.653,1
27.117,21.107,1.496,4,83.293,0.95,0
39.621,17.241,0.984,1,76.791,0.751,0
49.316,13.882,1.41,3,67.395,0.862,0
53.65,19.948,3.961,5,126.236,0.608,1
46.381,17.517,1.393,2,55.869,0.889,0
55.281,27.022,2.539,4,150.39,0.845,0
31.227,18.689,1.847,5,107.26,0.706,0
71.656,12.025,3.697,5,96.888,0.805,0
48.768,25.921,3.842,3,103.149,0.901,0
66.759,16.263,3.35,5,123.892,0.565,1
55.141,22.212,2.737,4,95.905,0.646,0
56.851,14.181,2.146,5,104.247,0.793,0
58.547,12.801,1.089,4,141.592,0.723,0
56.716,18.673,4.538,4,120.407,0.778,0
59.641,18.103,1.564,1,72.501,0.816,0
69.937,21.839,3.13,3,88.768,0.79,0
52.948,15.851,3.566,2,56.558,0.685,0
60.635,3.309,1.789,1,128.457,0.694,1
48.654,14.538,3.542,2,131.66,0.938,0
71.602,24.351,3.241,4,81.969,0.732,0
39.854,15.621,4.301,1,179.146,0.91,1
77.014,16.029,1.884,5,183.137,0.919,1
49.398,25.891,0.986,5,110.684,0.611,0
28.538,12.304,1.844,2,86.079,0.823,0
51.922,5.658,2.63,4,118.214,0.569,1
39.784,16.715,2.464,2,85.369,0.946,0
62.61,14.127,1.967,3,138.501,0.746,0
40.211,10.27,0.3,5,114.991,0.74,0
43.307,16.597,2.918,1,117.148,0.599,1
21.657,21.932,4.57,1,162.775,0.635,1
43.215,17.926,2.911,1,91.429,0.752,0
13.642,20.456,3.07,5,92.63,0.733,0
26.241,32.507,3.03,4,135.751,0.666,1
61.406,15.257,2.837,5,97.34,0.843,0
61.787,20.227,3.425,5,158.115,0.72,1
56.382,13.926,2.835,1,140.015,0.579,1
35.495,11.229,2.056,5,98.859,0.821,0
49.284,13.321,1.524,1,55.653,0.558,1
49.946,14.17,2.126,4,66.433,0.451,1
32.625,20.876,2.746,3,95.547,0.733,0
72.551,36.793,2.052,1,122.141,0.576,1
63.16,12.272,2.746,2,143.068,0.745,1
46.686,14.667,2.883,3,103.481,0.834,0
50.403,17.495,3.316,4,83.333,0.858,0
53.126,21.166,3.811,3,105.778,0.79,0
19.374,20.108,2.486,1,110.611,0.534,1
46.292,28.273,0.961,4,149.148,0.619,1
39.77,0.0,2.02,2,147.483,0.721,1
34.976,0.0,2.448,1,79.943,0.722,1
45.783,14.033,0.381,1,123.623,0.588,1
76.965,26.778,3.928,4,84.385,0.655,1
59.613,5.475,2.557,4,85.232,0.833,0
41.432,0.0,2.819,3,141.16,0.791,1
58.589,22.569,3.902,2,104.021,0.677,1
70.99,19.949,1.707,3,129.196,0.864,0
63.87,9.278,3.031,3,126.042,0.534,1
50.894,10.116,2.279,1,107.615,0.835,1
40.296,10.242,2.198,4,119.99,0.816,1
60.473,18.884,1.551,1,116.116,0.825,1
55.902,12.989,4.232,2,75.487,0.762,1
63.428,21.953,1.987,3,124.62,0.629,1
59.528,0.0,3.169,2,88.82,0.803,0
65.743,11.145,0.337,4,77.927,0.662,0
41.971,8.992,3.698,4,135.639,0.749,1
69.761,15.949,3.557,5,92.26,0.618,1
52.964,13.696,2.507,2,143.321,0.672,1
81.129,24.383,2.15,1,142.951,0.7,1
39.662,3.125,2.84,2,95.697,0.776,0
76.039,18.364,4.918,3,142.05,0.799,1
52.969,22.467,0.46,4,98.32,0.957,0
40.229,32.853,3.26,4,107.948,0.741,0
42.742,14.146,1.397,2,124.814,0.587,0
45.195,20.596,2.378,2,171.182,0.832,1
56.362,3.569,2.127,2,138.227,0.767,1
57.843,0.0,1.929,3,108.266,0.693,1
41.394,24.758,2.388,3,113.099,0.664,0
49.635,17.956,1.152,1,62.506,0.633,0
82.134,27.428,3.532,2,140.144,0.629,1
75.913,7.013,0.426,1,136.92,0.549,1
56.545,22.159,2.994,5,118.505,0.855,0
50.57,32.951,2.041,3,131.533,0.781,1
51.8,21.358,1.112,4,49.244,0.733,0
59.203,20.213,2.623,5,77.547,0.633,0
34.658,18.068,0.687,4,164.044,0.873,0
46.139,5.433,2.444,5,102.268,0.521,1
24.971,28.845,0.835,1,132.723,0.702,0
55.988,13.113,2.907,1,87.601,0.858,1
59.708,22.036,1.383,3,96.735,0.441,1
42.752,5.496,1.904,4,165.64,0.745,1
73.61,8.564,2.723,5,105.276,0.628,1
31.614,29.481,1.55,2,125.707,0.737,0
28.034,15.222,2.336,2,113.914,0.668,1
53.367,29.626,0.735,3,117.393,0.803,0
65.706,17.374,3.094,4,116.367,0.893,0
75.259,3.265,4.341,2,50.672,0.99,0
43.117,25.137,5.0,3,124.312,0.704,1
66.18,13.281,2.5,3,93.871,0.823,0
49.422,23.59,3.267,4,163.387,0.768,1
47.411,18.202,0.441,2,86.821,0.778,0
63.255,5.655,4.053,2,95.852,0.927,1
59.785,19.314,3.254,2,183.383,0.624,1
26.354,35.57,1.868,1,131.702,0.67,1
72.148,21.944,3.761,2,80.497,0.695,1
70.701,17.54,2.12,5,115.292,0.582,1
40.617,26.603,1.896,1,73.388,0.72,1
55.937,19.685,2.923,1,117.728,0.812,1
57.41,19.676,1.23,1,85.869,0.836,0
53.91,9.267,3.524,1,165.945,0.694,1
41.745,19.871,1.238,3,122.627,0.88,0
39.926,26.284,1.245,5,125.827,0.43,1
49.617,11.312,1.399,4,138.493,0.99,0
67.591,29.396,3.235,2,141.849,0.799,1
58.154,17.266,1.722,1,89.328,0.66,1
44.441,10.898,0.917,4,112.849,0.785,0
61.575,25.981,1.734,3,96.636,0.699,0
10.0,15.706,2.365,4,172.822,0.428,1
67.231,24.076,1.101,1,41.442,0.727,0
23.904,15.666,1.133,5,92.747,0.848,0
44.563,17.521,4.722,4,107.601,0.855,0
33.205,21.948,1.453,1,114.108,0.755,0
30.58,20.327,2.045,1,113.496,0.854,0
67.412,2.036,1.996,2,108.615,0.781,0
42.984,9.03,1.937,2,105.127,0.751,1
55.198,25.435,3.083,5,117.239,0.624,0
49.296,16.943,3.443,2,123.845,0.671,1
57.156,13.81,2.063,5,163.721,0.684,1
51.152,7.131,1.04,3,163.456,0.76,1
30.755,9.362,3.802,3,119.03,0.832,0
64.944,1.826,2.295,2,95.14,0.634,1
42.594,17.19,4.303,3,97.238,0.525,1
26.651,13.212,0.1,4,70.577,0.922,0
43.578,10.267,2.615,4,138.597,0.584,1
72.511,17.455,4.51,4,108.658,0.789,1
62.753,20.912,2.011,3,123.118,0.755,1
44.77,34.746,2.152,4,120.012,0.672,0
44.761,5.905,2.725,5,89.071,0.805,0
45.175,27.275,1.785,1,85.368,0.551,1
81.151,25.785,2.057,2,96.413,0.948,0
55.729,11.767,2.028,5,124.572,0.99,0
56.451,19.626,1.71,4,107.577,0.892,1
65.454,14.339,3.752,1,57.041,0.607,1
53.582,19.486,2.907,2,79.276,0.394,1
46.114,30.073,2.676,5,101.979,0.787,0
47.055,22.845,3.289,2,109.088,0.539,1
48.926,22.069,2.109,3,125.464,0.662,1
49.442,14.558,1.548,4,111.178,0.933,0
60.914,6.128,1.737,5,99.119,0.947,0
50.779,16.332,2.402,5,98.087,0.962,0
60.99,27.653,1.235,1,116.044,0.734,1
48.789,5.783,1.85,1,122.541,0.846,1
51.18,9.559,1.832,1,100.106,0.441,1
20.027,19.01,4.737,2,77.669,0.51,1
63.745,10.123,0.1,4,107.042,0.68,0
55.197,11.66,2.202,2,90.504,0.838,0
64.97,14.611,4.298,4,118.627,0.66,1
10.0,7.075,2.534,5,154.422,0.832,0
81.326,10.207,3.229,2,69.453,0.559,1
47.906,23.627,2.51,2,144.521,0.734,1
66.623,7.541,1.666,2,124.071,0.797,0
34.401,5.217,0.1,3,143.085,0.826,0
59.192,12.96,2.626,4,96.928,0.657,1
34.199,23.856,1.547,4,66.619,0.724,0
40.643,16.425,1.52,2,115.391,0.504,1
78.71,14.283,1.851,3,151.991,0.705,1
47.14,18.355,4.319,2,78.184,0.871,0
53.261,4.034,5.0,4,82.691,0.683,1
63.051,21.958,2.639,5,127.616,0.615,1
57.435,21.067,1.889,3,94.634,0.829,0
52.256,14.726,1.105,3,159.983,0.99,0
55.474,26.047,2.915,2,129.562,0.99,1
86.051,8.98,4.361,5,88.423,0.757,1
49.136,27.023,2.128,4,93.061,0.828,0
53.016,19.236,0.1,1,94.247,0.949,0
65.76,15.308,3.137,4,108.712,0.754,0
66.583,17.841,3.484,4,119.134,0.785,0
67.805,17.142,0.656,5,116.943,0.675,0
59.581,27.762,2.594,3,76.259,0.99,0
32.855,9.387,2.896,4,137.056,0.821,1
74.501,11.9,2.32,3,101.298,0.683,1
32.805,26.29,1.53,5,82.174,0.639,0
54.54,13.236,3.518,5,96.109,0.46,1
38.686,25.204,1.956,2,140.429,0.499,1
49.038,31.595,0.766,1,115.71,0.618,1
54.931,14.786,0.146,5,118.327,0.85,0
54.82,23.451,3.787,5,74.9,0.766,0
56.329,8.77,3.078,3,113.967,0.544,1
74.206,24.038,2.497,5,139.926,0.59,1
56.803,19.595,1.916,4,55.911,0.759,0
46.338,21.784,1.818,2,98.332,0.954,0
64.461,12.835,1.217,2,128.695,0.566,1
67.842,4.711,1.925,4,114.747,0.784,0
31.586,22.026,0.1,5,79.436,0.658,0
58.961,1.493,1.59,1,121.948,0.662,1
60.518,15.461,2.058,5,74.978,0.556,0
45.537,25.529,3.071,2,83.974,0.808,0
70.636,19.535,2.356,1,87.123,0.652,1
47.749,33.587,3.274,3,156.302,0.671,1
51.884,26.201,3.884,3,59.909,0.858,0
47.404,12.769,3.564,5,62.123,0.865,0
50.234,18.219,2.918,5,118.5,0.618,0
33.556,17.621,2.413,1,113.144,0.762,1
28.399,5.343,1.321,1,95.902,0.847,0
73.918,10.477,3.214,5,110.415,0.694,0
37.296,13.514,4.248,2,78.064,0.814,0
35.129,1.71,2.776,3,112.764,0.675,1
17.699,18.38,4.509,1,116.288,0.672,1
40.416,16.007,0.722,2,146.441,0.589,1
30.154,4.617,1.13,5,167.218,0.96,0
74.63,21.234,3.341,4,101.972,0.652,1
65.147,23.727,2.691,1,71.801,0.608,0
39.678,19.816,3.845,4,121.549,0.574,1
